property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,property_type_categorised,ventilation_categorised,window_type_categorised,cause_primary,cause_secondary,analysis
semi-detached house,cavity,not mentioned,mould,not mentioned,extractors,not mentioned,not mentioned,not mentioned,rear lounge,not mentioned,0115_CH7.pdf,lack of air circulation and high humidity,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported mould issues appear to be inadequate ventilation, particularly due to a disconnected kitchen extraction unit that allows moisture-laden air to accumulate in the living areas. Additionally, the external ground level being below the damp proof course (DPC) may contribute to moisture ingress, exacerbating the conditions for mould growth."
large detached dwelling,solid,1750,both,south,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,hallway,0227_SO51.pdf,water ingress from significant rainfall,detached,not mentioned,not mentioned,external moisture penetration,none,"The main causes of the damp and mould issues reported in the property include the absence of a damp proof course (DPC) due to the property's age, which allows ground water to rise into the walls, and significant water ingress from heavy rainfall during the winter of 2013-2014, which saturated the solid brick walls. Additionally, the presence of vegetation near the exterior walls restricts evaporation, further exacerbating moisture retention. There are also indications of ongoing water ingress through the chimney, which has not been adequately sealed, contributing to localized dampness in the hallway."
large detached Grade II listed dwelling,solid,circa 1700,both,not mentioned,upgrading of the extractor fan units to the bathroom and shower room is recommended,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0226_SO51.pdf,rainwater getting behind external render,detached,extract ventilation,not mentioned,external moisture penetration,none,"The reported damp and mould issues in the property are primarily caused by inadequate damp proofing due to the age of the building, which predates the requirement for damp proof courses (DPCs) established in 1875. Additionally, the presence of high moisture levels is exacerbated by poor ventilation, particularly in areas like the bathroom and shower room where extractor fans are ineffective due to dust obstruction and insufficient overrun times. Furthermore, the exterior ground level being higher than the internal floor level may contribute to moisture ingress, particularly affecting the timber suspended floors."
single storey extension to a land manor house,cavity,1980s,damp,north,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,dining area,0280_TN3.pdf,condensation from external atmospheric conditions,other,not mentioned,not mentioned,poor ventilation,other/unclear,"The reported damp and mould issues are primarily caused by weather ingress associated with the parapet wall detail, leading to significant moisture levels in the affected areas. Additionally, the high external relative humidity and the thermal conditions, particularly on the North facing elevation, contribute to condensation, exacerbating the damp conditions within the property."
large detached house converted into two flats,solid,not mentioned,both,not mentioned,"passive vents, extraction units",wood framed,1 adult and 1 child,not mentioned,"kitchen, Bedroom 1","Bedroom 2, lounge",0184_NW10.pdf,rainwater discharging down defective downpipe,flat,extract ventilation,timber,external moisture penetration,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, as evidenced by blocked air bricks and insufficient extraction rates in the bathroom and kitchen, leading to elevated humidity levels. Additionally, structural issues such as penetrating damp from external water ingress, particularly around the window sills and walls, contribute to the moisture problems. The presence of a mouse infestation may also indicate underlying issues with property maintenance and potential entry points for moisture."
semi-detached brick built property,cavity,circa 1970,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,lounge,not mentioned,0112_CA1.pdf,inadequate air circulation in cavity wall,semi-detached/end terrace,not mentioned,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues are inadequate ventilation and water ingress due to flooding. The floodwaters entered the property through air bricks, leading to dampness wicking up the walls. Additionally, the lack of sufficient air circulation in the cavity and under the timber suspended floors exacerbates the problem, as moist air is not being expelled effectively, contributing to elevated humidity levels within the property."
ground floor flat,cavity,circa 2013,both,not mentioned,positive air input system,uPVC,not mentioned,yes,bedroom,bathroom,0185_NW11.pdf,bridging in cavity causing moisture ingress,ground floor flat,PIV,uPVC,external moisture penetration,none,"The reported issues of damp and mould growth are primarily caused by inadequate ventilation, particularly in areas like the bathroom and laundry, leading to elevated humidity levels. Additionally, the presence of wet cavity wall insulation and external factors such as poor drainage from the garden butt against the brickwork contribute to moisture retention, exacerbating the mould problem."
1st floor apartment,not mentioned,not mentioned,both,not mentioned,7 roof vents installed,not mentioned,not mentioned,not mentioned,bedroom,kitchen,0234_SS5.pdf,poorly installed roof membrane allowing moisture ingress,flat,natural ventilation,not mentioned,external moisture penetration,none,"The main causes of the reported damp and mould issues in the property are poor ventilation leading to high humidity levels in the loft space, as indicated by the internal relative humidity of 85%, and inadequate installation of the roofing membrane, which has resulted in condensation forming on its underside. Additionally, the presence of poorly cut roof membrane around the soil vent pipe has likely contributed to moisture ingress, exacerbating the conditions for mould growth."
mid-terraced dwelling,cavity,pre-1965,damp,not mentioned,trickle vents,uPVC,not mentioned,not mentioned,Bathroom,not mentioned,0275_TA9.pdf,raised atmospheric moisture levels,mid terrace,natural ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the bathroom where forced ventilation is absent, leading to high humidity levels. Additionally, the bridging of the damp proof course (DPC) by the internal floor level allows ground water to affect the wall structures, contributing to moisture accumulation. Previous water ingress through the chimney stack may also be a factor, as it can lead to prolonged moisture retention in the structure."
end of terrace dwelling,solid,early 1900s,both,not mentioned,passive vents and wall mounted extractor unit,uPVC,not mentioned,not mentioned,kitchen and bathroom,not mentioned,0129_CT9.pdf,ineffective ventilation and condensation issues,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues in the kitchen and bathroom are primarily caused by inadequate ventilation, leading to high humidity levels and condensation. The absence of passive vents in the UPVC windows and the ineffective operation of the bathroom extractor fan contribute to the accumulation of moisture. Additionally, the cooker hood's improper venting into the conservatory rather than directly outside exacerbates the humidity problem, creating an environment conducive to mould growth."
three bedroom end terrace Cornish Unit,solid,1950s,both,not mentioned,no kitchen or bathroom ventilation,uPVC,2 Adults,not mentioned,"bathroom, bedroom 1","lounge, hallway",0256_TA6.pdf,wind driven rain due to roof defects,semi-detached/end terrace,not mentioned,uPVC,external moisture penetration,none,"The reported damp and mould issues are primarily caused by multiple factors, including ongoing roof leaks due to slipped tiles and inadequate flashing, which allow water ingress. Additionally, the absence of proper kitchen and bathroom ventilation contributes to moisture accumulation, exacerbating the damp conditions. The ineffective Positive Pressure Unit (PPU) and potential structural defects, such as unsatisfactory underfelt condition, further complicate the situation, leading to persistent dampness and mould growth."
semi-detached dwelling,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,mat well,playroom,0193_PO15.pdf,leaking soil vent pipe joint,semi-detached/end terrace,not mentioned,not mentioned,internal leaks/plumbing,none,"The main causes of the damp and mould issues reported in the mat well are a leaking soil vent pipe (SVP) joint, which allows water to migrate into the area, and the lack of access to the ground floor drainage system for proper testing. The presence of water from the leaking joint is the primary factor contributing to the wet conditions in the mat well."
4-bedroom converted water tower,solid,1898,both,west,not mentioned,double-glazed,not mentioned,not mentioned,sitting room,not mentioned,0114_CF23.pdf,poor masonry jointing and detailing,other,not mentioned,other,external moisture penetration,none,"The main causes of the reported damp and mould issues in the water tower are inadequate masonry jointing and poor detailing in the construction and renovation processes. Specifically, the use of inappropriate cementitious mortar instead of lime-based mortar has led to ineffective pointing, allowing moisture to penetrate through open joints and poorly executed flaunching. Additionally, the tower's exposure to severe weather conditions, combined with the superficial repairs made during previous renovations, has exacerbated the moisture ingress, particularly around window reveals and corbelled brickwork."
end terrace one bedroom ground floor maisonette,solid,1950's,both,not mentioned,not mentioned,top hung,2 adults,not mentioned,rear bedroom,not mentioned,0260_TA6.pdf,overflowing gutters keeping walls permanently wet,semi-detached/end terrace,not mentioned,other,external moisture penetration,none,"The main causes of the damp and mould issues reported in the property are poor drainage due to blocked gutters and inadequate downpipe systems, which lead to water overflow and moisture accumulation on the walls. Additionally, the lack of mechanical ventilation exacerbates condensation problems, particularly in the bedroom, while the presence of an overgrown shrub against the building contributes to damp conditions by preventing proper airflow and moisture evaporation from the solid walls."
ground floor flat in a purpose built block,cavity,not mentioned,not mentioned,north,trickle vents,not mentioned,not mentioned,not mentioned,two bedrooms,not mentioned,0212_RM3.pdf,obstructed radiator and inadequate heating,ground floor flat,natural ventilation,not mentioned,insufficient heating,lifestyle factors,"The reported issues of cold spots in the bedrooms are primarily caused by poor ventilation, as the windows and trickle vents were closed during the survey, leading to inadequate air circulation. Additionally, the obstruction of the radiator in the small bedroom by boxes and furniture prevents effective heating, contributing to the cold conditions. The previous cavity wall inspection and potential insulation issues may also play a role in the thermal performance of the walls."
large detached property with six self-contained flats,cavity,early 1900s,both,not mentioned,"extractors, trickle vents",uPVC,2 adults and 2 children,yes,lounge,bathroom,0196_PO21.pdf,atmospheric moisture and inadequate ventilation,detached,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are poor ventilation leading to high atmospheric moisture levels and condensation, particularly in areas where still air is chilled by cool wall surfaces. Additionally, structural moisture from the earth-retaining walls and potential water ingress due to compromised external wall integrity contribute to the damp conditions. The age of the property and the possibility of inadequate damp proofing measures further exacerbate these issues."
ground floor two-bedroom flat,cavity,early 1980s,both,not mentioned,trickle vents,PVCu,"5 persons, 1 dog and 2 cats",not mentioned,"Kitchen, Bedroom 1","Bathroom, Bedroom 2",0222_SN10.pdf,raised atmospheric moisture levels and reduced ventilation,ground floor flat,natural ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, leading to high humidity levels and condensation, particularly in areas like the bathroom and kitchen. Additionally, the presence of furniture against external walls restricts airflow, exacerbating condensation problems. The ongoing leak from the bathroom hot tap further contributes to elevated moisture levels, while the tenant's lack of understanding regarding the operation of the ventilation systems limits their effectiveness."
single storey office converted from a Fire Station,solid,not mentioned,damp,west,not mentioned,uPVC,not mentioned,not mentioned,communal hallway,open plan office area,0197_PO21.pdf,water ingress from defective uPVC window units,other,not mentioned,uPVC,external moisture penetration,none,"The reported damp and mould issues are primarily caused by water ingress due to inadequate sealing at junctions between the parapet wall and the main structure, as well as between the brick and stone elements. Additionally, the presence of detached uPVC flashings around the windows allows rainwater to penetrate, while blocked drainage holes in the window units exacerbate the problem by preventing proper water drainage, leading to moisture accumulation within the building."
one bedroom ground floor flat,cavity,late 1970s to early 1980s,both,not mentioned,"extraction units, trickle vents",not mentioned,1 adult,yes,every room,not mentioned,0223_SN10.pdf,lack of adequate ventilation and heating,ground floor flat,extract ventilation,not mentioned,poor ventilation,insufficient heating,"The main causes of the reported damp and mould issues in the property are poor ventilation and high humidity levels, exacerbated by the drying of clothing indoors and inadequate functioning of extraction units. The presence of condensation on cold surfaces, particularly around windows and in areas with minimal airflow, indicates that moisture is not being effectively removed from the living spaces. Additionally, blocked or improperly functioning passive vents contribute to the lack of adequate air circulation, further promoting damp conditions."
ground floor flat in a purpose built block,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom,bedroom,0298_W9.pdf,failed bath seal causing moisture issues,ground floor flat,not mentioned,not mentioned,internal leaks/plumbing,none,"The main causes of the reported damp and mould issues in the property are attributed to a failed bath seal, which allows water to escape and saturate the area under the bath, leading to moisture accumulation in the surrounding plasterboard walls and timber structures. Additionally, the high moisture levels detected in the bathroom and adjoining bedroom suggest inadequate drainage or plumbing issues, despite no obvious leaks being identified during the inspection."
semi-detached house converted into flats,timber,early 1900s,both,not mentioned,not mentioned,PVCu,not mentioned,not mentioned,Flat 1 Bedroom,Flat 2 Bedroom,0217_SE5.pdf,compromised DPC in party wall,semi-detached/end terrace,not mentioned,uPVC,rising damp,none,"The reported damp and mould issues in the bedroom wall are primarily caused by inadequate damp proofing measures, as indicated by the absence of a damp proof membrane (DPM) and damp proof course (DPC), allowing ground moisture to migrate into the building's fabric. Additionally, the waste pipe being laid on wet sand directly on the ground contributes to moisture accumulation, exacerbating the problem."
1970's - 1980's 2 bedroom ground floor flat,cavity,1970's - 1980's,both,not mentioned,"extractor in kitchen, additional vents in lounge, trickle vents",PVCu,1 adult and 2 children,yes,bathroom,children’s room,0101_BN17.pdf,inadequate ventilation and drying clothes indoors,ground floor flat,extract ventilation,uPVC,poor ventilation,lifestyle factors,"The reported damp and mould issues are primarily caused by poor ventilation, particularly in areas like the kitchen and bathroom where moisture levels are elevated. The inadequate operation of the kitchen extractor fan contributes to high humidity, while furniture placement against walls inhibits air circulation, creating cold spots that can lead to condensation. Additionally, structural issues such as damaged pointing and broken tiles may allow moisture ingress, exacerbating the damp conditions."
modern dwelling,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,music room,lounge,0148_GU27.pdf,defective flaunching allowing water ingress,not mentioned,not mentioned,not mentioned,external moisture penetration,none,"The main causes of the damp and mould issues reported are inadequate flaunching at the top of the chimney, which fails to direct water away effectively, and the presence of cracks and poor joints that allow water ingress. Additionally, the previous remedial works, including sealing with silicone and painting, have proven ineffective and are deteriorating, contributing to ongoing moisture problems."
large semi-detached structure divided into four self-contained flats,solid,early 1900s,damp,north west,extractor units in bathroom and en-suite,not mentioned,not mentioned,not mentioned,small bedroom,not mentioned,0105_BN21.pdf,water ingress through exterior wall renders,semi-detached/end terrace,extract ventilation,not mentioned,external moisture penetration,none,"The main causes of the reported damp and mould issues in the property include inadequate ventilation, particularly in bathrooms and en-suites where extractor fans do not operate effectively after lights are turned off, leading to moisture accumulation. Additionally, there are indications of weather ingress due to damage in the external render, which allows rainwater to penetrate the brick structure, exacerbating moisture levels. The presence of original lath and plaster and modern dry lining may also hinder the natural drying process of the walls, trapping moisture within the structure."
top floor apartment in a purpose built block,not mentioned,not mentioned,both,north,"ceiling mounted extractor units in bathroom and en-suite, cooker hood in kitchen",not mentioned,not mentioned,not mentioned,"bedroom, hallway",communal stairwell,0144_E8.pdf,interstitial condensation in roof structure,flat,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are water ingress from the flat roof structure, likely due to the absence of a vapour control membrane in the roof design, which can lead to interstitial condensation. Additionally, insufficient ventilation in the bathroom and en-suite areas contributes to elevated humidity levels, creating an environment conducive to mould growth, particularly in the communal stairwell where damp warm air from bathrooms can migrate into the service shaft."
four bedroom end of terrace house,cavity,not mentioned,both,not mentioned,"kitchen and bathroom extraction units, trickle vents",not mentioned,5 adults,yes,"lounge, bathroom",not mentioned,0100_BN16.pdf,lack of ventilation and high internal humidity,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are poor ventilation, particularly in the bathroom and kitchen, leading to high internal humidity levels, and inadequate functioning of the extraction units. Additionally, the presence of contents against external walls restricts airflow, contributing to moisture retention. The poor seal around the bath also likely contributes to elevated moisture levels on the floor, further exacerbating the mould growth."
flat,cavity,1990 - present,both,south-east,"mechanical extraction units in bathroom and kitchen/lounge, open passive trickle vents in kitchen and bedroom",not mentioned,not mentioned,not mentioned,built-in cupboard within the bedroom,not mentioned,0131_DA10.pdf,lack of adequate overall ventilation,flat,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues in the flat are primarily caused by inadequate ventilation, particularly in moisture-generating areas such as the kitchen and bathroom, leading to elevated humidity levels. Additionally, the presence of a previous leak in the bathroom may have contributed to ongoing moisture problems. The mechanical extraction units are not compliant with current building regulations, further exacerbating the situation by failing to effectively remove excess moisture from the air."
semi-detached block built property,not mentioned,circa 2002,both,south,not mentioned,uPVC,not mentioned,not mentioned,attic,bedroom,0146_FK7.pdf,lack of ventilation and high moisture levels,semi-detached/end terrace,not mentioned,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues are poor ventilation in the attic space, leading to high relative humidity and condensation, and the presence of moisture from neighboring properties. Additionally, the low temperatures in the roof space contribute to the conditions that allow mould to flourish, exacerbated by the lack of air circulation and the structural characteristics of the property."
2-bedroom self-contained flat,not mentioned,circa 1950,both,not mentioned,trickle vents to the windows,uPVC,4 adults and 2 children,not mentioned,front bedroom,bathroom,0158_LU1.pdf,lack of adequate ventilation,flat,natural ventilation,uPVC,poor ventilation,none,"The main causes of the reported damp and mould issues in the property are poor ventilation, particularly in areas like the bathroom and kitchen, which leads to high internal humidity levels. Additionally, the conversion from electric to gas heating may have altered the moisture dynamics within the flat, while the cold exterior walls contribute to condensation, exacerbating the mould growth."
three flats in a purpose built structure,cavity,not mentioned,both,not mentioned,"trickle vents, extractor fans (not functioning in some areas)",not mentioned,not mentioned,not mentioned,bathroom,kitchen,0241_SW6.pdf,inadequate ventilation and cold bridging,flat,extract ventilation,not mentioned,poor ventilation,insufficient heating,"The reported damp and mould issues in the surveyed properties are primarily caused by inadequate ventilation, particularly in bathrooms and kitchens, leading to elevated humidity levels. Additionally, cold bridging in certain areas contributes to condensation, while an ongoing water leak in Flat 14 exacerbates moisture problems. The combination of these factors, along with the wet conditions experienced during the winter of 2013-2014, has created an environment conducive to mould growth."
large mid-terraced dwelling,solid,early 1900s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"master bedroom, dressing room",not mentioned,0130_CT9.pdf,condensation is a factor in moisture levels,mid terrace,not mentioned,not mentioned,poor ventilation,none,"The reported damp and mould issues are primarily caused by water ingress affecting the first floor areas, likely due to the age and construction of the property, which is solid brick with a cementitious waterproofing system that may not be fully effective. Additionally, high relative humidity levels adjacent to cold wall surfaces contribute to conditions conducive to mould growth, despite condensation not being present at the time of the survey. The combination of moisture penetration and elevated humidity creates an environment that supports mould proliferation."
end-of-terrace ground floor apartment,cavity,pre-1965,both,north-west,"passive vents, trickle vents, dehumidifiers",uPVC,not mentioned,no,bedroom,not mentioned,0267_TA8.pdf,inadequate ventilation and condensation issues,ground floor flat,natural ventilation,uPVC,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, leading to high internal humidity levels, particularly in the bedroom and kitchen areas. The presence of cavity wall insulation may also contribute to moisture retention, while the lack of effective forced ventilation in the kitchen exacerbates moisture generation. Additionally, the cold surface temperatures of the walls, combined with high relative humidity, create conditions conducive to condensation and mould growth."
modern end of terrace dwelling,not mentioned,not mentioned,both,not mentioned,extractor units in bathroom and en-suite areas,not mentioned,not mentioned,not mentioned,daughter’s bedroom and landing,not mentioned,0166_ME15.pdf,inadequate ventilation in bathroom and en-suite,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none,"The reported issues of damp and mould in the property are primarily caused by inadequate ventilation, particularly in the bathroom which lacks a window and has extractor fans that are not in use. This poor ventilation leads to elevated humidity levels, which, combined with the cold surfaces in the ceiling and roof structures, creates conditions conducive to mould growth. Additionally, the flat roof construction may contribute to moisture retention, exacerbating the damp conditions within the property."
top floor flat in a purpose built block,cavity,not mentioned,mould,not mentioned,"extractor fans, trickle vents",uPVC,not mentioned,not mentioned,master bedroom,bathroom,0135_DT5.pdf,ineffective ventilation and high atmospheric moisture,flat,extract ventilation,uPVC,poor ventilation,none,"The main causes of the reported mould issues in the property are inadequate ventilation and elevated relative humidity levels. The passive ventilation systems, including trickle vents, were found to be closed or obstructed, limiting airflow. Additionally, the bathroom extractor fan was not being used effectively, contributing to moisture accumulation. The presence of mould in areas with high humidity, particularly in the master bedroom and bathroom, indicates that prolonged moisture conditions, rather than direct water ingress, are facilitating mould growth."
semi-detached dwelling,solid,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,dining room,0152_HA4.pdf,leaking foul and storm drains,semi-detached/end terrace,not mentioned,not mentioned,internal leaks/plumbing,none,"The main causes of the reported damp and mould issues appear to be a leaking kitchen soil pipe, which is allowing water to escape into the surrounding soil, and inadequate drainage from the rainwater pipe that backs up and spills, contributing to moisture accumulation. Additionally, the presence of wet materials beneath the floor, including saturated timber and wet screed, indicates prolonged exposure to moisture, likely exacerbated by these drainage issues."
semi-detached three bedroom Cornish type house,solid,1945-1960,both,south-east,"trickle vents, forced fan in kitchen",uPVC,2 adults and 4 children with 2 pet dogs,not mentioned,living room,utility,0254_TA6.pdf,inadequate ventilation and air extraction,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none,"The main causes of the damp and mould issues reported in the property are poor ventilation, particularly due to closed and blocked trickle vents, and inadequate operation of the kitchen and bathroom extraction fans. Additionally, high internal humidity levels, likely exacerbated by the presence of multiple occupants and pets, contribute to the moisture accumulation. Structural issues such as broken roof tiles, a disconnected downpipe, and unsealed cable penetrations also allow for water ingress, further promoting mould growth."
semi-detached house,cavity,1940's,both,not mentioned,"extractor in bathroom not operating, trickle vents closed",PVCu double glazing,1 adult,yes,bedroom,bathroom,0109_BS26.pdf,inadequate ventilation when drying clothes indoors,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,lifestyle factors,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the bathroom where the vent unit is non-functional, leading to increased internal moisture levels. Additionally, the presence of an uninsulated sloping ceiling contributes to condensation when dew point temperatures are reached, further exacerbating mould growth. The lack of a damp proof course (DPC) and the use of injected mineral fibre insulation in the cavity walls may also hinder moisture management within the property."
detached bungalow,cavity,1964,mould,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,front bedroom,not mentioned,0289_TW18.pdf,compromised DPC due to external render systems,detached,not mentioned,not mentioned,rising damp,none,"The reported issues of damp and mould in the property are primarily caused by a combination of previous flooding, which introduced moisture into the structure, and potential bridging of the damp proof course (DPC) by external render, allowing moisture to penetrate the walls. Additionally, high relative humidity levels, particularly in areas like the kitchen, contribute to conditions conducive to mould growth, as the moisture levels exceed the thresholds necessary for mould proliferation."
three bedroom semi-detached dwelling,solid,pre-dates 1965,both,not mentioned,"kitchen extractor not in use, bathroom extractor insufficient",uPVC,not mentioned,not mentioned,master bedroom,bathroom,0170_ME3.pdf,plumbing issues and ineffective ventilation,semi-detached/end terrace,extract ventilation,uPVC,internal leaks/plumbing,poor ventilation,"The reported damp and mould issues in the property are primarily caused by inadequate damp proofing due to the absence of a Damp Proof Membrane (DPM) in the concrete floor slab, as it was constructed before 1965. Additionally, there are significant water ingress issues from external sources, particularly through damaged render and poor detailing of the conservatory roof flashings, which allow rainwater to penetrate the walls. The presence of a minor leak from the bath also contributes to elevated moisture levels, creating conditions conducive to mould growth, exacerbated by insufficient ventilation from non-functional extractor fans and the lack of trickle vents in the windows."
large modern semi-detached dwelling,cavity,not mentioned,both,south east,"trickle vents, wall mounted extractor units",not mentioned,not mentioned,yes,lower ground floor bedroom,not mentioned,0181_N8.pdf,elevated internal atmospheric moisture levels,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, leading to high internal humidity levels and condensation on cooler surfaces. The use of closed windows and ineffective extractor fans further exacerbates moisture retention. Additionally, drying laundry indoors significantly increases the moisture load, contributing to the conditions that promote mould growth."
two bedroom first floor maisonette,cavity,1970s,both,not mentioned,"no trickle vents, one extraction unit in bathroom (not working), one extraction unit in WC (not functioning)",uPVC,"1 adult, 1 child, and 1 adult staying 3 nights a week",yes,bedroom 1,lounge,0171_ME4.pdf,lack of adequate ventilation and drying clothes indoors,flat,extract ventilation,uPVC,poor ventilation,lifestyle factors,"The main causes of the reported damp and mould issues in the property include poor ventilation, particularly in the bathroom and kitchen, leading to elevated humidity levels. Additionally, the presence of multiple occupants and activities such as drying clothes indoors contribute to increased moisture levels. The structural characteristics of the maisonette, including cold external walls and inadequate air circulation due to clutter, further exacerbate the conditions conducive to mould growth."
three bedroom flat,solid,1970s,mould,not mentioned,trickle vents and passive vents,not mentioned,1 adult and 2 children,yes,bedroom 3,bedroom 1,0169_ME2.pdf,lack of ventilation and high humidity,flat,natural ventilation,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the flat include inadequate ventilation leading to high humidity levels, particularly during winter months, and the presence of moisture from external sources, such as water ingress through the external wall. Additionally, the tenant's practices, such as drying laundry indoors without sufficient ventilation and the ineffective use of extractor fans, contribute to elevated moisture levels that facilitate mould growth."
bungalow,cavity,1965 – 1990,both,east,"extractors, trickle vents",not mentioned,not mentioned,yes,Back bedroom,"Bathroom, Kitchen",0300_CH7.pdf,atmospheric moisture and inadequate ventilation,other,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues are primarily caused by inadequate ventilation, as evidenced by insufficient air exchange rates and the presence of unvented appliances like the tumble dryer, which contribute to high internal moisture levels. Additionally, the reduced size of the external grill for the extract ventilation and the presence of fire doors with minimal undercut further restrict airflow, exacerbating the moisture retention problem. Structural damage to the external wall may also allow for weather ingress, compounding the dampness issues."
two Bedroom semi detached dormer house,cavity,not mentioned,both,not mentioned,"positive pressure unit, bathroom extraction fan, kitchen fan",not mentioned,3 - 4 adults and 2 cats,not mentioned,hallway and stairs,bedrooms and living room,0108_BS24.pdf,poor ventilation and high atmospheric moisture,semi-detached/end terrace,PIV,not mentioned,poor ventilation,none,"The main causes of the reported damp and mould issues in the property include inadequate ventilation, particularly in the roof void where there is no eaves or ridge ventilation, leading to high humidity and condensation. Additionally, the presence of blocked gutters and downpipes, along with missing roof tiles, contributes to water ingress, exacerbating the damp conditions. The use of vapour impermeable roofing felt may also trap moisture, while the porous nature of the external rendering allows water to penetrate the cavity walls, further promoting mould growth."
end of terrace dwelling,solid,early 1900s,both,not mentioned,wall mounted extractor units in bathroom and kitchen,uPVC,not mentioned,not mentioned,"front bedroom, bathroom",kitchen,0125_CR0.pdf,ground water issue and penetrating damp,semi-detached/end terrace,extract ventilation,uPVC,external moisture penetration,rising damp,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, particularly with the ineffective extractor fans in the kitchen and bathroom, which fail to adequately remove moisture-laden air. Additionally, significant cracking in the external render allows rainwater to penetrate the walls, exacerbating moisture retention within the structure. The presence of hygroscopic salts indicates that ground moisture is also contributing to the damp conditions, while the thermal inefficiency of damp walls further promotes condensation and mould growth."
purpose block flats,cavity,2006,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"bathroom, en-suite",not mentioned,0096_BH12.pdf,leaks from bath and shower seals,flat,not mentioned,not mentioned,internal leaks/plumbing,none,"The main causes of the damp and mould issues in Flats 1 and 2 are inadequate sealing around plumbing fixtures, particularly in the en-suite showers and baths, which allows water to migrate into the structure. Additionally, the presence of raised moisture levels in the walls and floors suggests poor drainage or water ingress, likely exacerbated by ineffective waterproofing measures and potential structural issues in the building's design that do not adequately manage moisture."
first floor 2-bedroom apartment,cavity,1960s,both,south-west,"UPVC windows with trickle vents, passive vent in living room, forced ventilation in bathroom and kitchen",double-glazed,not mentioned,not mentioned,"bedroom 2, bathroom","living room, kitchen",0262_TA6.pdf,previous high atmospheric moisture loading,flat,extract ventilation,not mentioned,poor ventilation,none,"The reported damp and mould issues in the property are primarily caused by inadequate ventilation, as evidenced by blocked passive vents and insufficient air exchange in key areas like the kitchen and bathroom. Additionally, structural issues such as cracks in the external walls and concrete junctions may be allowing moisture ingress, further exacerbating the damp conditions. High relative humidity levels within the property also contribute to the moisture problems, particularly in areas with poor airflow."
two bedroom flat,cavity,1960s,both,not mentioned,well ventilated with windows and trickle vents open and continuous background forced ventilation,uPVC,not mentioned,not mentioned,bedroom 1,lounge,0243_SW6.pdf,water ingress via uPVC wall structure,flat,continuous mechanical ventilation,uPVC,external moisture penetration,none,"The main causes of the reported damp and mould issues in the property are water ingress from the flat above, specifically through the uPVC window frame and wall structure, which appears to be inadequately sealed. Additionally, the potential inadequacy of the original brick cavity wall structure, now covered by the uPVC installation, may contribute to the water migration into the lower flat, particularly during significant rainfall."
luxury apartment,cavity,2009/2010,both,west,not mentioned,not mentioned,not mentioned,not mentioned,"bedroom, bathroom",not mentioned,0213_SA1.pdf,poorly sealed roof allowing wind-driven water ingress,flat,not mentioned,not mentioned,external moisture penetration,none,"The main causes of the reported damp and mould issues are poor sealing at the junction between the soffit and fascia, allowing air leakage and draughts into the roof void, and the absence of insulation in the ceiling void, which contributes to temperature differentials that promote condensation. Additionally, the presence of rusting screws indicates potential water ingress, possibly exacerbated by the coastal environment, leading to moisture accumulation in the affected areas."
