property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,property_type_categorised,ventilation_categorised,window_type_categorised,cause_primary,cause_secondary
stone built structure,not mentioned,not mentioned,both,not mentioned,ceiling mounted extractor unit,not mentioned,not mentioned,not mentioned,rear lounge,not mentioned,0183_NE43.pdf,lack of cavity tray and water ingress,other,extract ventilation,not mentioned,external moisture penetration,none
one-bedroom mid terrace bungalow,cavity,early 1950s,mould,not mentioned,trickle vents,uPVC,1 adult and a small dog,not mentioned,bedroom,not mentioned,0245_TA5.pdf,high water table causing moisture ingress,mid terrace,natural ventilation,uPVC,external moisture penetration,none
two bedroom flat,cavity,1960s,both,not mentioned,"windows and trickle vents open and continuous back ground forced ventilation of the bathroom, toilet and kitchen areas",not mentioned,not mentioned,not mentioned,bedroom 1,lounge,0242_SW6.pdf,ingress from the exterior wall above,flat,extract ventilation,not mentioned,external moisture penetration,none
post-war three-bedroom semi-detached house,cavity,not mentioned,both,north,no electro/mechanical ventilation to either the bathroom or the kitchen,double-glazed,2 adults and 2 fish tanks,yes,right hand side of the front door,not mentioned,0263_TA7.pdf,failed cavity wall insulation and poor rendering condition,semi-detached/end terrace,natural ventilation,not mentioned,external moisture penetration,other/unclear
detached dwelling,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,dining room,garage,0221_SL9.pdf,plumbing issues causing water ingress,detached,not mentioned,not mentioned,internal leaks/plumbing,none
detached dwelling,cavity,pre-1965,mould,not mentioned,no forced ventilation provided in the bathroom or kitchen areas,not mentioned,not mentioned,not mentioned,hallway,not mentioned,0277_TN2.pdf,plumbing leak near kitchen sink,detached,not mentioned,not mentioned,internal leaks/plumbing,none
semi-detached maisonette,solid,prior to 1857,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0295_W2.pdf,ground related moisture issue,semi-detached/end terrace,not mentioned,not mentioned,rising damp,none
three bedroom end of terrace house,cavity,not mentioned,both,not mentioned,"older style uPVC windows, most do not have trickle vents",uPVC,1 adult and 3 children,yes,master bedroom,not mentioned,0232_SS16.pdf,long term bridging of the DPC by shingle,semi-detached/end terrace,natural ventilation,uPVC,rising damp,none
three bedroom semi detached property,cavity,1940's or early 1950's,both,not mentioned,no passive or mechanical ventilation,uPVC,2 Adults,not mentioned,not mentioned,not mentioned,0266_TA8.pdf,defective roof tiling causing water ingress,semi-detached/end terrace,not mentioned,uPVC,external moisture penetration,none
ground floor flat,solid,circa 2010,both,not mentioned,trickle vents,PVCU,not mentioned,yes,lower ground floor sitting room,study,0177_N1.pdf,inadequate ventilation and damp clothes drying,ground floor flat,natural ventilation,uPVC,poor ventilation,lifestyle factors
detached brick built property,cavity,circa 2007,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"Playroom, Study",Hallway,0219_SG5.pdf,escape of water from plumbing issue,detached,not mentioned,not mentioned,internal leaks/plumbing,none
ground floor flat,cavity,not mentioned,both,north,"extractor in bathroom, cooker hood in kitchen, trickle vents",not mentioned,not mentioned,yes,hallway,not mentioned,0122_CO4.pdf,elevated atmospheric moisture levels,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
first floor flat in a purpose built block,solid,1950s,both,not mentioned,"extractor units in bathroom and kitchen, trickle vents in windows",not mentioned,not mentioned,yes,lounge,bathroom,0297_W6.pdf,condensation and high internal humidity levels,flat,extract ventilation,not mentioned,poor ventilation,none
small bedsit dwelling,cavity,not mentioned,mould,not mentioned,trickle vents and wall mounted ventilation units,uPVC,1 adult,yes,lounge,bathroom,0255_TA6.pdf,lack of ventilation and drying clothes indoors,other,extract ventilation,uPVC,poor ventilation,lifestyle factors
semi-detached two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,"trickle vents, extractor fans",uPVC,1 adult and 1 teenager,yes,bedroom 1,bedroom 2,0134_DT4.pdf,lack of ventilation and drying clothes indoors,ground floor flat,extract ventilation,uPVC,poor ventilation,lifestyle factors
one bedroom ground floor flat,cavity,pre-1965,both,not mentioned,"uPVC windows with trickle vents, extractor fans in bathroom and kitchen",uPVC,not mentioned,yes,lounge,not mentioned,0282_TN34.pdf,high internal atmospheric moisture levels,ground floor flat,extract ventilation,uPVC,poor ventilation,none
upper floor flat in a converted Victorian semi-detached town house,solid,not mentioned,both,northwest,not mentioned,not mentioned,not mentioned,not mentioned,kitchen and front bedroom,lounge,0283_TN34.pdf,rainwater penetration through external walls,flat,not mentioned,not mentioned,external moisture penetration,none
ground floor flat,cavity,1997,both,not mentioned,"extractors, trickle vents",PVCu,2 adults and 2 children,yes,Bedroom 1,not mentioned,0233_SS17.pdf,lack of adequate ventilation and poor sealing,ground floor flat,extract ventilation,uPVC,poor ventilation,external moisture penetration
one-bedroom ground floor maisonette,cavity,1950s,mould,not mentioned,no electro-mechanical fans present,uPVC,2 adults,not mentioned,bedroom,not mentioned,0250_TA6.pdf,condensation from inadequate ventilation,ground floor flat,natural ventilation,uPVC,poor ventilation,none
new build 2-bedroom ground floor flat,cavity,circa 2007,mould,not mentioned,trickle vents and passive vent,PVCu,1 adult and 2 young children,not mentioned,bathroom,bedroom 2,0102_BN17.pdf,elevated internal moisture and poor ventilation,ground floor flat,natural ventilation,uPVC,poor ventilation,lifestyle factors
three bedroom end of terrace house,cavity,1970s,mould,not mentioned,not mentioned,not mentioned,2 adults and 4 children,yes,lounge,bedroom 2,0103_BN17.pdf,drying clothing on radiators,semi-detached/end terrace,not mentioned,not mentioned,lifestyle factors,none
semi-detached bungalow,cavity,1950/60's,both,not mentioned,trickle vents and forced vent in bathroom,not mentioned,3 adults and 1 large dog,yes,bedroom,wet room,0273_TA9.pdf,inadequate ventilation and moisture ingress,semi-detached/end terrace,extract ventilation,not mentioned,poor ventilation,external moisture penetration
converted ground floor apartment in a four-storey semi-detached building,solid,early 1900s,both,south,"extractor fans in bathroom and kitchen, passive vents",single-glazed,1 adult and 2 children,not mentioned,living room,bedroom 2,0292_W11.pdf,inadequate ventilation and moisture ingress,ground floor flat,extract ventilation,other,poor ventilation,external moisture penetration
1930’s semi-detached house,cavity,1930s,both,not mentioned,"extractors, trickle vents",uPVC,not mentioned,not mentioned,bedroom 1,bathroom,0161_LU2.pdf,lack of adequate ventilation,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
large detached dwelling,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,central stairwell,not mentioned,0154_HP8.pdf,water ingress from roof structure,detached,not mentioned,not mentioned,external moisture penetration,none
large detached dwelling,solid,1903,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,rear extension,not mentioned,0237_SW15.pdf,defective damp proof course installation,detached,not mentioned,not mentioned,rising damp,none
large mid-terrace dwelling,solid,not mentioned,damp,not mentioned,reliant on the air flow under the suspended floors,not mentioned,not mentioned,not mentioned,basement,not mentioned,0236_SW15.pdf,basement not tanked and poor ventilation,mid terrace,natural ventilation,not mentioned,poor ventilation,external moisture penetration
high rise development of purpose built flats,solid,1970s,both,not mentioned,extractors and trickle vents,metal and uPVC,2 adults and 2 infants,yes,bedroom 1,"kitchen, bathroom",0142_E7.pdf,condensation and lack of ventilation,flat,extract ventilation,other,poor ventilation,none
large five bedroom detached dwelling,cavity,not mentioned,both,not mentioned,"mechanical extraction units in kitchen and bathroom, trickle vents",uPVC,7 occupants,not mentioned,lounge,"bedroom 1, bedroom 2",0195_PO20.pdf,inadequate ventilation and high humidity levels,detached,extract ventilation,uPVC,poor ventilation,none
end of terrace 3 bedroom house,cavity,1970s,both,not mentioned,roof vents and a passive vent in the ground floor bedroom,not mentioned,5 adults and 1 child,yes,"lounge, ground floor bedroom",not mentioned,0210_RM13.pdf,inadequate ventilation and drying clothes indoors,semi-detached/end terrace,natural ventilation,not mentioned,poor ventilation,lifestyle factors
ground floor flat in a modern purpose built block,timber,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0138_E12.pdf,internal and external water ingress,ground floor flat,not mentioned,not mentioned,internal leaks/plumbing,external moisture penetration
ground floor flat in a purpose built block,cavity,not mentioned,both,not mentioned,"extractor fan in bathroom, trickle vents in windows",not mentioned,not mentioned,yes,bathroom,not mentioned,0218_SE7.pdf,condensation from inadequate ventilation,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
mid terrace bungalow,cavity,late 1970's to early 1980's,both,not mentioned,trickle vents,uPVC,not mentioned,yes,bedroom,"bathroom, kitchen",0249_TA6.pdf,high internal atmospheric conditions,mid terrace,natural ventilation,uPVC,poor ventilation,none
mid-terrace dwelling,cavity,not mentioned,mould,not mentioned,extractor unit,uPVC,not mentioned,not mentioned,conservatory,bathroom,0106_BN22.pdf,ineffective bathroom extractor unit,mid terrace,extract ventilation,uPVC,poor ventilation,none
one bedroom ground floor flat,cavity,1960,damp,not mentioned,no mechanical or electrical ventilation units,single-glazed,2 adults,not mentioned,bedroom,not mentioned,0259_TA6.pdf,moisture from below DPC level,ground floor flat,natural ventilation,other,rising damp,none
semi-detached dwelling,solid,early 1900s,both,south,not mentioned,not mentioned,not mentioned,not mentioned,lounge,bedroom,0225_SO51.pdf,water ingress through external cracking,semi-detached/end terrace,not mentioned,not mentioned,external moisture penetration,none
end of terrace structure,cavity,early 1900's,both,south,"ceiling mounted extractor unit, opening windows",uPVC,not mentioned,not mentioned,rear bedroom,south facing external flank wall,0201_PO4.pdf,hygroscopic salts causing elevated moisture levels,semi-detached/end terrace,extract ventilation,uPVC,other/unclear,none
ground floor flat in a purpose built block,cavity,pre-dates 1965,both,south,"UPVC window units with trickle vents, wall mounted extractor in bathroom and kitchen",uPVC,not mentioned,not mentioned,"lounge, bedroom 2",not mentioned,0164_ME1.pdf,issues with ventilation and cavity wall insulation,ground floor flat,extract ventilation,uPVC,poor ventilation,other/unclear
large modern detached dwelling,cavity,2010s,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,entrance lobby,0149_GU3.pdf,adhesive sealing preventing evaporation of moisture,detached,not mentioned,not mentioned,other/unclear,none
three Bedroom semi-detached dormer house,cavity,1940 to 1950,damp,not mentioned,"no kitchen fan, humidistat controlled bathroom fan (insufficient power)",not mentioned,3 Adults & 1 dog,not mentioned,living room,Bedroom 2,0111_BS27.pdf,defective rendering on the gable wall,semi-detached/end terrace,extract ventilation,not mentioned,external moisture penetration,none
three bedroom terraced house,cavity,late 1950's to early 1960's,both,not mentioned,no mechanical/electrical extraction systems,not mentioned,2 adults and 1 child,not mentioned,"kitchen, bedroom 3",not mentioned,0258_TA6.pdf,leaking from defective Finlock Gutters,mid terrace,natural ventilation,not mentioned,external moisture penetration,none
ground floor flat,cavity,circa 2005,mould,not mentioned,trickle vents,uPVC,3 persons and approximately 25 pet tanks and a large rabbit hutch,not mentioned,master bedroom,not mentioned,0098_BN11.pdf,raised atmospheric moisture from inadequate ventilation,ground floor flat,natural ventilation,uPVC,poor ventilation,none
two-bedroom bungalow,not mentioned,late 1960s or early 1970s,both,not mentioned,"kitchen well ventilated, bathroom extractor fan, passive vent in bedroom 1",not mentioned,3 Adults,not mentioned,Bathroom,Kitchen,0248_TA6.pdf,condensation from inadequate ventilation,other,extract ventilation,not mentioned,poor ventilation,none
upper dwelling in a purpose built block,cavity,not mentioned,damp,east,not mentioned,uPVC,not mentioned,not mentioned,kitchen,not mentioned,0293_W12.pdf,water penetration through exterior wall structure,flat,not mentioned,uPVC,external moisture penetration,none
semi-detached house,cavity,1930-40s,mould,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,dining room,master bedroom,0200_PO4.pdf,lack of insulation in sloping ceiling areas,semi-detached/end terrace,not mentioned,not mentioned,other/unclear,none
ground floor flat,cavity,circa 1960,both,not mentioned,trickle vents,uPVC,not mentioned,not mentioned,kitchen,bedroom,0160_LU1.pdf,water ingress from a possible leak,ground floor flat,natural ventilation,uPVC,internal leaks/plumbing,none
semi-detached 2-bedroom house,cavity,circa 1960,both,southeast,"trickle vents, passive vents, extractor fan",uPVC,2 adults and 4 cats,not mentioned,"lounge, kitchen","bathroom, dining room",0110_BS26.pdf,inadequate ventilation and humidity control,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
two bedroom ground floor flat,cavity,not mentioned,both,north,passive ventilation via two bedroom windows and patio doors,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0211_RM17.pdf,ineffective ventilation and high atmospheric moisture,ground floor flat,natural ventilation,not mentioned,poor ventilation,none
ground floor flat in a purpose built block,cavity,2009,mould,not mentioned,passive ventilation with acoustic window vents and forced ventilation in bathroom and kitchen,not mentioned,not mentioned,yes,"bedroom 1, lounge",not mentioned,0238_SW18.pdf,raised atmospheric moisture levels and condensation,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
two storey 3-bedroom maisonette,cavity,1950s,both,north west,no mechanical/electrical ventilation,uPVC,"2 Adults and 5 Children (ages 1, 2, 4, 5 & 9)",not mentioned,Bedroom 1,Bathroom,0251_TA6.pdf,condensation from inadequate ventilation,flat,natural ventilation,uPVC,poor ventilation,none
two bedroom ground floor flat,cavity,20-30 years,mould,not mentioned,"trickle vents, storage heaters",not mentioned,2 adults and 3 children,yes,lounge/diner,bedroom 1,0095_BH1.pdf,lack of ventilation and drying clothes indoors,ground floor flat,natural ventilation,not mentioned,poor ventilation,lifestyle factors
three storey linked dwelling,timber,not mentioned,not mentioned,south east,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,0167_ME19.pdf,thermal radiation causing joint failure,other,not mentioned,not mentioned,other/unclear,none
two bedroom ground floor flat,cavity,1980s,mould,not mentioned,"trickle vents, drier vented internally, Nuaire vent unit",uPVC,1 adult and 2 children,yes,"Bedroom 1, Bathroom","Kitchen, Bedroom 2",0099_BN12.pdf,lack of ventilation / lifestyle issues,ground floor flat,PIV,uPVC,poor ventilation,lifestyle factors
mid-terrace dwelling,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,master bedroom,not mentioned,0175_MK8.pdf,condensation in the roof structure,mid terrace,not mentioned,not mentioned,poor ventilation,other/unclear
semi-detached property,cavity,1940-1950s,both,not mentioned,trickle vents,PVCu,6 persons and 1 large dog,not mentioned,kitchen,bedrooms,0272_TA9.pdf,high atmospheric moisture from inadequate ventilation,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none
two bedroom ground floor flat,cavity,not mentioned,both,not mentioned,trickle vents,uPVC,3 adults,yes,kitchen,lounge,0097_BH21.pdf,long term leaks and inadequate ventilation,ground floor flat,natural ventilation,uPVC,internal leaks/plumbing,poor ventilation
circa 1960’s two bedroom ground floor flat,solid,1960s,mould,not mentioned,trickle vents fitted,uPVC,1 adult and 3 children,yes,bedroom 2,not mentioned,0140_E7.pdf,restricted airflow from furniture and drying clothes,ground floor flat,natural ventilation,uPVC,lifestyle factors,none
first floor flat in a purpose built block,cavity,not mentioned,mould,not mentioned,"passive ventilation by opening windows, centralized extractor unit",uPVC,not mentioned,not mentioned,two bedrooms,not mentioned,0194_PO19.pdf,insufficient ventilation and internal moisture levels,flat,extract ventilation,uPVC,poor ventilation,lifestyle factors
purpose built block,cavity,not mentioned,mould,north east,extractor fan in bathroom,not mentioned,not mentioned,not mentioned,"master bedroom, second bedroom",not mentioned,0107_BS23.pdf,loss water wicking up from the floor structure,other,extract ventilation,not mentioned,rising damp,none
mid terrace property,solid,1930s,both,not mentioned,"forced air extraction unit, trickle vents",uPVC,not mentioned,not mentioned,dining room,bathroom,0145_EN3.pdf,poor drainage and inadequate ventilation,mid terrace,extract ventilation,uPVC,poor ventilation,external moisture penetration
detached chalet bungalow,solid,1940’s to 1950's,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0180_N20.pdf,moisture penetrating through solid brick wall,detached,not mentioned,not mentioned,external moisture penetration,none
ground floor flat,cavity,early to mid 1960s,both,not mentioned,"trickle vents, electric extractor units",uPVC,not mentioned,yes,front bedroom,"bathroom, kitchen",0231_SS16.pdf,lack of forced ventilation and high moisture production,ground floor flat,extract ventilation,uPVC,poor ventilation,lifestyle factors
two bedroom first floor flat,not mentioned,circa 1960,both,not mentioned,"trickle vents, wall mounted Envirovent units",uPVC,1 adult and 2 young children,yes,lounge,"bedroom, kitchen",0230_SS16.pdf,lack of ventilation and poor loft insulation,flat,PIV,uPVC,poor ventilation,insufficient heating
ground floor flat in a purpose built block,solid,late 1930s,both,not mentioned,trickle vents and windows were open,not mentioned,not mentioned,not mentioned,toilet,bathroom,0244_SW6.pdf,moisture from occupational activity,ground floor flat,natural ventilation,not mentioned,lifestyle factors,none
two-storey three-bedroom mid-terrace house,cavity,1960,both,north,no mechanical/electrical ventilation; windows open as much as possible,uPVC,3 adults and 1 child + 1 small dog,not mentioned,lounge,"master bedroom, daughter's bedroom",0269_TA9.pdf,moisture wicking from below DPC level,mid terrace,natural ventilation,uPVC,rising damp,none
retail unit in a terrace,solid,1889,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,basement,office,0137_E1.pdf,foul water ingress affecting basement area,other,not mentioned,not mentioned,internal leaks/plumbing,none
semi-detached dwelling,cavity,not mentioned,both,north west,windows have to be opened to provide ventilation,not mentioned,not mentioned,not mentioned,kitchen diner,entrance hall,0173_ME8.pdf,condensation related issues,semi-detached/end terrace,natural ventilation,not mentioned,poor ventilation,none
large country manor house split into luxury apartments,solid,early 1800s,both,south west,limited cavity ventilation,not mentioned,not mentioned,not mentioned,Flat 13,Flat 1,0150_GU30.pdf,rainwater ingress through defective exterior render,other,not mentioned,not mentioned,external moisture penetration,none
end terrace house,cavity,mid 1980s,both,south,not mentioned,not mentioned,not mentioned,not mentioned,living room,bedroom 1,0224_SO18.pdf,water ingress through open gable head,semi-detached/end terrace,not mentioned,not mentioned,external moisture penetration,none
self-contained flat,cavity,circa 1997,mould,not mentioned,forced air extraction unit in bathroom,double-glazed,not mentioned,not mentioned,master bedroom,not mentioned,0153_HP3.pdf,inadequate ventilation and water ingress,flat,extract ventilation,other,poor ventilation,external moisture penetration
large stone built detached property,solid,1800s,both,west,not mentioned,timber,not mentioned,not mentioned,sitting room,bedroom,0113_CA11.pdf,moisture ingress from water leak,detached,not mentioned,timber,internal leaks/plumbing,none
large detached dwelling,cavity,2014,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,kitchen,garage,0204_PR3.pdf,water ingress due to poor structural detailing,detached,not mentioned,not mentioned,external moisture penetration,none
semi-detached dwelling,cavity,early 1900s,damp,not mentioned,trickle vents,uPVC,not mentioned,not mentioned,ground floor reception rooms,first floor bathroom,0278_TN24.pdf,weather ingress associated with flashings and roof detail,semi-detached/end terrace,natural ventilation,uPVC,external moisture penetration,none
1970's 2nd and 3rd floor maisonette,cavity,1970s,both,not mentioned,"trickle vents, lack of forced ventilation",not mentioned,5 occupants,yes,bedroom 2,"bedroom 1, lounge, kitchen",0163_LU4.pdf,blocked drains causing water ingress,flat,natural ventilation,not mentioned,external moisture penetration,none
semi-detached dwelling,cavity,1970s,both,not mentioned,no ventilation,sealed non-opening window unit,not mentioned,not mentioned,WC,not mentioned,0174_MK41.pdf,lack of ventilation and low floor level,semi-detached/end terrace,not mentioned,not mentioned,poor ventilation,rising damp
first floor flat in an end of terrace property,solid,not mentioned,both,not mentioned,not mentioned,uPVC,not mentioned,not mentioned,bedroom,bathroom,0215_SE25.pdf,raised humidity and occasional condensation,flat,not mentioned,uPVC,poor ventilation,none
large detached dwelling,cavity,early to mid 1900’s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,ground floor front bedroom,shower,0209_RH19.pdf,moisture migration from ground under floor slabs,detached,not mentioned,not mentioned,other/unclear,none
flat,solid,late 1940s,mould,not mentioned,trickle vents,not mentioned,2 adults,yes,master bedroom,kitchen,0162_LU3.pdf,lack of ventilation during moisture production,flat,natural ventilation,not mentioned,poor ventilation,none
three-bedroom terraced house,solid,1950s,both,not mentioned,insufficient extraction fan in bathroom,uPVC,"2 adults and 3 children, 2 small dogs",not mentioned,bedroom 1 and bathroom,bedroom 2,0270_TA9.pdf,condensation from occupant-generated moisture,mid terrace,extract ventilation,uPVC,poor ventilation,lifestyle factors
detached bungalow,cavity,1953,both,not mentioned,uPVC windows with trickle vents (all closed),uPVC,not mentioned,not mentioned,lounge,not mentioned,0279_TN26.pdf,lack of ventilation and high atmospheric moisture,detached,natural ventilation,uPVC,poor ventilation,none
studio apartment,cavity,1960,damp,not mentioned,"mechanical/electrical fan in bathroom, inadequate in kitchen",not mentioned,1 person (void when surveyed),not mentioned,lounge/bedroom,bathroom,0253_TA6.pdf,overflowing roof valley gutter,flat,extract ventilation,not mentioned,external moisture penetration,none
purpose built block of flats,cavity,circa 2005,both,not mentioned,trickle vents and extractors,PVCu,2 adults and 2 children,yes,kitchen,child's bedroom,0207_RH10.pdf,inadequate ventilation and moisture from drying clothes,flat,extract ventilation,uPVC,poor ventilation,lifestyle factors
ground floor flat in a purpose built block,cavity,circa 2009,both,not mentioned,extractor fans in kitchen and bathroom,not mentioned,not mentioned,not mentioned,lounge,"hallway, bedroom 1",0206_RH10.pdf,occupational moisture levels and cooled surfaces,ground floor flat,extract ventilation,not mentioned,lifestyle factors,insufficient heating
large extension to an original structure,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,basement,shower room,0156_KT6.pdf,rain penetration through detailing issues,other,not mentioned,not mentioned,external moisture penetration,none
two bedroom semi-detached house,cavity,not mentioned,mould,not mentioned,passive vents,uPVC,1 adult and 2 children,yes,landing,"bedroom 1, bedroom 2",0132_DT4.pdf,lack of forced ventilation and high moisture levels,semi-detached/end terrace,natural ventilation,uPVC,poor ventilation,none
large four bedroom detached house,solid,not mentioned,both,not mentioned,"trickle vents, extractors",uPVC,9 adults,yes,Bedroom 1,Dining Room,0139_E7.pdf,atmospheric conditions from high occupancy,detached,extract ventilation,uPVC,lifestyle factors,none
semi-detached 2-bedroom bungalow,cavity,2000/2001,both,north west,not mentioned,not mentioned,2 Adults and 2 children,not mentioned,bedroom,not mentioned,0288_TR15.pdf,occupational moisture created and not managed,semi-detached/end terrace,not mentioned,not mentioned,lifestyle factors,none
one bedroom flat,solid,1950/60,mould,not mentioned,trickle vents,not mentioned,not mentioned,yes,bedroom,not mentioned,0118_CM20.pdf,lack of ventilation and high moisture production,flat,natural ventilation,not mentioned,poor ventilation,lifestyle factors
large semi-detached structure containing 5 self-contained flats,solid,mid to late 1800s,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,bathroom and kitchen area to flat 5,kitchen area to flat 4,0214_SE24.pdf,damp from inadequate basement tanking,semi-detached/end terrace,not mentioned,not mentioned,external moisture penetration,none
first floor flat in a purpose built block,cavity,not mentioned,mould,not mentioned,"extractor fan in bathroom, trickle vents in windows",uPVC,not mentioned,yes,bathroom,not mentioned,0202_PO7.pdf,atmospheric moisture from occupational activity,flat,extract ventilation,uPVC,lifestyle factors,none
basement flat,solid,prior to 1865,both,north,passive air vents and ceiling mounted extractor unit,not mentioned,not mentioned,not mentioned,"master bedroom, second bedroom",bathroom,0291_W11.pdf,condensation during colder periods,ground floor flat,extract ventilation,not mentioned,poor ventilation,none
circa 1940's concrete system built structure,solid,1940's,both,not mentioned,trickle vents and extractor fans,uPVC,5 people and 2 dogs,not mentioned,bedroom and bathroom,not mentioned,0271_TA9.pdf,lack of ventilation and thermal efficiency,other,extract ventilation,uPVC,poor ventilation,insufficient heating
top floor flat,not mentioned,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,"lounge, hallway","bathroom, stairway",0187_NW8.pdf,historic plumbing leak,flat,not mentioned,not mentioned,internal leaks/plumbing,none
large detached dwelling of modern construction,cavity,not mentioned,both,not mentioned,"extractor units in bathroom and en-suite areas, trickle vents in windows",not mentioned,not mentioned,not mentioned,rear bedroom,"bathroom, en-suite areas",0281_TN33.pdf,condensation from inadequate ventilation,detached,extract ventilation,not mentioned,poor ventilation,none
modern ground floor flat,cavity,not mentioned,mould,east,"trickle vents, passive vent, extractor units",uPVC,not mentioned,not mentioned,bedroom,bathroom,0290_W10.pdf,atmospheric moisture load and cool surface temperatures,ground floor flat,extract ventilation,uPVC,poor ventilation,insufficient heating
first floor flat in a purpose built block,solid,1950s,both,not mentioned,trickle vents and extractor units,not mentioned,not mentioned,yes,lounge,not mentioned,0296_W6.pdf,condensation and raised relative humidity levels,flat,extract ventilation,not mentioned,poor ventilation,none
old fisherman cottage,solid,circa 1850-1870,damp,not mentioned,trickle ventilation,PVCu,not mentioned,not mentioned,lounge,not mentioned,0252_TA6.pdf,lack of damp proof course and membrane,other,natural ventilation,uPVC,rising damp,none
circa 1950’s two bedroom ground floor flat,cavity,1950s,mould,south west,"trickle vents, no use of extraction units",not mentioned,1 adult,yes,bedroom 1,bedroom 2,0133_DT4.pdf,inadequate ventilation and drying clothes indoors,ground floor flat,natural ventilation,not mentioned,poor ventilation,lifestyle factors
ground floor flat in a purpose built block,cavity,not mentioned,both,not mentioned,both forced and passive ventilation,not mentioned,not mentioned,not mentioned,bathroom,not mentioned,0276_TN16.pdf,possible water leak in bathroom area,ground floor flat,extract ventilation,not mentioned,internal leaks/plumbing,none
single storey structure,cavity,1996,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,toilets,office,0199_PO22.pdf,multiple leaks causing excess moisture,other,not mentioned,not mentioned,internal leaks/plumbing,none
first floor flat,cavity,post 2000,both,not mentioned,"extractor in bathroom, trickle ventilation in windows",not mentioned,not mentioned,yes,Bedroom 1,Bedroom 2,0198_PO22.pdf,lack of adequate ventilation and drying clothes indoors,flat,extract ventilation,not mentioned,poor ventilation,lifestyle factors
upper floor apartment,not mentioned,not mentioned,both,not mentioned,extractor unit in bathroom,not mentioned,not mentioned,not mentioned,bathroom,communal hallway,0176_N1.pdf,water ingress from flat roof and parapet walls,flat,extract ventilation,not mentioned,external moisture penetration,none
one bedroom ground floor flat,cavity,1970s,mould,not mentioned,"extraction unit in bathroom, windows can lock on safety latch",not mentioned,not mentioned,yes,not mentioned,not mentioned,0192_PO11#.pdf,lack of ventilation and lifestyle issues,ground floor flat,extract ventilation,not mentioned,poor ventilation,lifestyle factors
detached dwelling with a thatched roof,not mentioned,2006,both,not mentioned,insufficient extractor in bathroom,not mentioned,not mentioned,not mentioned,master bedroom,lounge,0147_GU25.pdf,condensation and elevated humidity levels,detached,extract ventilation,not mentioned,poor ventilation,none
three bedroom semi-detached dwelling,cavity,pre-date 1965,both,not mentioned,"passive vents, extractor fans",uPVC,not mentioned,not mentioned,"bathroom, first floor stairwell",not mentioned,0285_TN38.pdf,high internal atmospheric moisture levels,semi-detached/end terrace,extract ventilation,uPVC,poor ventilation,none
purpose built apartment,cavity,circa 2014,both,not mentioned,trickle vents,PVCU,not mentioned,not mentioned,lounge,kitchen,0178_N16.pdf,rain water ingress through patio doors,flat,natural ventilation,uPVC,external moisture penetration,none
top floor flat in a modern purpose built development,cavity,not mentioned,both,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,two bedrooms and the en-suite to the master bedroom,not mentioned,0116_CM12.pdf,internal plumbing issues causing moisture accumulation,flat,not mentioned,not mentioned,internal leaks/plumbing,none
mid-terraced three bedroom house,cavity,pre-1965,both,not mentioned,trickle vents and passive vents,uPVC,not mentioned,not mentioned,"kitchen, living room",not mentioned,0268_TA9.pdf,bridged DPC due to screed over concrete sub-floor,mid terrace,natural ventilation,uPVC,rising damp,none
extensively developed property dedicated to the care of elderly residents,cavity,not mentioned,damp,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,stairwell,not mentioned,0190_PL13.pdf,defective rainwater gulley and downpipe misalignment,other,not mentioned,not mentioned,external moisture penetration,none
