property_type,wall_type,age,issue_type,orientation,ventilation,window_type,occupancy,drying_clothes,main_issue_location,secondary_issue_locations,filename,cause,analysis,heating_system
2-storey terraced dwelling,cavity,not mentioned,both,not mentioned,"trickle vents, passive vents, extractor fans",not mentioned,not mentioned,yes,bedroom 1,"bedroom 2, bedroom 3",0610_LU1.pdf,"The reported mould and condensation issues are primarily due to inadequate ventilation and heat balance, as evidenced by blocked passive vents, insufficient air changes from extraction units, and the presence of contents against external walls obstructing airflow. Additionally, the drying of clothes indoors contributes to elevated humidity levels, exacerbating the condensation problem, particularly around windows.","The reported issues of damp and mould in the property are primarily caused by inadequate ventilation, particularly in the bedrooms where passive vents are blocked and furniture is placed against external walls, leading to cold spots. Additionally, there is a lack of effective loft insulation, which contributes to cold surface temperatures that promote condensation. The presence of moisture traps and insufficient air changes in the bathroom further exacerbate the condensation problem.",Not mentioned
two-bedroomed house,cavity,1965,both,not mentioned,passive trickle vents and mechanical extraction units,uPVC,not mentioned,not mentioned,bedrooms,"WC, bathroom",0805_PO22.pdf,"The reported issues are primarily caused by a combination of inadequate ventilation due to closed and dirty passive trickle vents, underperforming mechanical extraction units in the kitchen and bathroom, elevated internal humidity levels, cavity defects, and furniture obstructing airflow against external walls.","The reported issues of damp and mould in the property are primarily caused by inadequate ventilation, leading to elevated humidity levels, particularly in the bedrooms, WC, and bathroom. Additionally, the lack of effective operation of mechanical extraction units in the bathroom and kitchen contributes to moisture retention. The historic leak in the lounge and potential defects within the cavity walls may also be contributing factors, allowing moisture ingress and sustaining conditions favorable for mould growth.",Gas central heating
mid-terrace dwelling,timber,1970s,both,not mentioned,"no forced ventilation in kitchen, manual extractor in bathroom",uPVC,not mentioned,yes,rear bedroom,front bedroom,0470_DA3.pdf,"The reported damp and mould issues are primarily due to inadequate ventilation, which leads to excessive moisture accumulation and subsequent condensation. Additionally, the presence of water ingress from external sources, such as leaks or poor drainage, further exacerbates the problem by introducing moisture into the building fabric.","The main causes of the reported damp and mould issues are inadequate ventilation in the property, particularly in the kitchen and bathroom, leading to elevated humidity levels that promote interstitial condensation. Additionally, the lack of an effective vapour control barrier on the warm side of the insulation and the potential for moist warm air to migrate into the ceiling space above the upper cupboard contribute to the condensation problems observed.",Not mentioned
semi-detached dwelling,solid,1930s,both,not mentioned,"uPVC windows with trickle vents, wall mounted extractor units",uPVC,not mentioned,not mentioned,"Bedroom 1, Kitchen",Bathroom,0450_CM9.pdf,"The reported damp and mould issues are primarily caused by inadequate ventilation systems, which contribute to poor air circulation and elevated humidity levels, leading to mould activity. Additionally, structural moisture from the rear chimney and damp exterior walls, particularly in the bathroom and hallway, further exacerbates the problem.","The reported damp and mould issues in the property are primarily caused by inadequate ventilation, leading to elevated indoor humidity levels. The presence of moisture is exacerbated by the age of the building, which lacks a proper damp proof membrane in the concrete floor slabs, allowing ground moisture to migrate. Additionally, the ineffective operation of extractor fans in the kitchen and bathroom, combined with insufficient make-up air flow, contributes to the accumulation of moisture in these areas, creating conditions conducive to mould growth.",Not mentioned
flat,cavity,1965 – 1990,both,east,PIV system and mechanical extraction unit in the bathroom,not mentioned,not mentioned,not mentioned,Lounge,Bedroom 1,0065_PO7.pdf,"The reported issues are primarily caused by periods of raised internal humidity levels due to inadequate ventilation, as indicated by an underperforming extraction unit in the bathroom and the absence of an extraction unit in the kitchen. Additionally, the presence of an internal leak under the sink and potential water ingress from the flat above contribute to elevated moisture levels, exacerbating the risk of damp and mould.","The reported damp and mould issues are primarily caused by inadequate ventilation, as evidenced by the underperforming mechanical extraction unit in the bathroom and the lack of a kitchen ventilation unit. Additionally, elevated humidity levels within the property, likely due to occupancy patterns and insufficient air circulation, contribute to the conditions conducive to mould growth. Past water damage from a leak in the flat above has also likely exacerbated the moisture levels in the affected areas.",Gas central heating
two-bedroom first-floor flat,cavity,not mentioned,both,not mentioned,"mechanical extraction unit in the bathroom, no extraction unit in the kitchen, trickle vents fitted but closed",not mentioned,1 adult and 1 child,yes,bathroom,not mentioned,0636_LU2.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation throughout the flat, leading to elevated internal humidity levels and condensation, as well as water ingress from the shower due to the absence of a shower curtain or screen. Additionally, blocked drainage on the balcony and potential plumbing issues may contribute to moisture problems, while the placement of contents against external walls exacerbates cooler areas that promote mould growth.","The reported damp and mould issues in the property are primarily caused by inadequate ventilation, as evidenced by closed trickle vents and the continuous operation of the bathroom extractor fan drawing air from an open window rather than the rest of the property. Additionally, high indoor humidity levels from drying clothes indoors and the presence of cooler areas due to contents blocking airflow contribute to condensation and mould growth. Structural factors, such as the lack of a curtain or screed in the bath area allowing water to wet the structure, further exacerbate the moisture issues.",Not mentioned
three-bedroomed semi-detached house,cavity,not mentioned,both,not mentioned,passive trickle vents and mechanical extraction unit,not mentioned,not mentioned,not mentioned,2 bedrooms,"bathroom, kitchen",0626_LU2.pdf,"The reported issues are primarily caused by a combination of inadequate ventilation due to closed passive trickle vents, an underperforming bathroom extractor fan, elevated internal humidity levels, and a possible leak in the bathroom. Additionally, the placement of furniture against external walls may be contributing to the conditions that promote mould growth.","The reported issues of damp and mould in the property are primarily caused by inadequate ventilation, leading to elevated humidity levels, particularly in the bedrooms, bathroom, and kitchen. Additionally, potential internal leaks from plumbing fixtures and blocked external drainage may contribute to moisture accumulation. The presence of contents against external walls further exacerbates the risk of condensation by restricting airflow and allowing warm air to contact cooler surfaces.",Gas central heating
two-bedroomed ground floor flat,cavity,not mentioned,both,not mentioned,"trickle vents to all windows, mechanical extraction units in bathroom and kitchen",not mentioned,not mentioned,not mentioned,"bedroom 1, bedroom 2",not mentioned,0592_LU1.pdf,"The reported issues are primarily caused by a combination of inadequate ventilation, which includes underperforming mechanical extraction units and dirty trickle vents, and elevated internal humidity levels. Additionally, the presence of contents against external walls and colder structural areas contribute to conditions that promote condensation and mould growth.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and elevated humidity levels. The mechanical extraction units in both the bathroom and kitchen are not operating at the required performance levels, leading to insufficient air circulation and moisture removal. Additionally, the presence of contents against external walls restricts airflow, contributing to condensation and mould growth, particularly in areas with high relative humidity exceeding 70%.",Gas central heating
two-bedroom 1st floor east facing flat,solid,not mentioned,mould,east,MVHR unit in the kitchen area,not mentioned,not mentioned,not mentioned,"lounge, bed 2",not mentioned,0515_EC1M.pdf,"The reported mould issues are primarily caused by poor ventilation due to the MVHR unit being switched off and ineffective, combined with closed windows that lead to elevated internal humidity levels. Additionally, previous condensation on the walls, particularly in Bed 2, has likely contributed to the mould growth, as indicated by the visual evidence of water runs and the significant internal air temperature.","The reported mould issues in the property are primarily caused by elevated atmospheric moisture levels combined with inadequate ventilation. Specific areas, such as the lounge and bedroom windows, show signs of mould due to condensation resulting from warm air meeting cold surfaces, exacerbated by poor air circulation. Additionally, the missing duct cover in the MVHR system and insufficient airflow in various rooms contribute to the lack of effective moisture control, allowing mould to thrive.",Not mentioned
two-bedroom 1st floor east facing flat,cavity,not mentioned,mould,east,"MVHR unit operational, reliance on extraction and opening windows",not mentioned,not mentioned,not mentioned,"bedroom, lounge",WC,0514_EC1M.pdf,"The reported mould issues are primarily caused by inadequate ventilation due to the absence of trickle vents, leading to elevated internal humidity levels. Additionally, localized condensation on the cold water cistern in a warm bathroom contributes to increased moisture, further supporting mould growth in specific areas.","The main causes of the reported mould issues in the property are high levels of atmospheric moisture, with relative humidity exceeding 70%, and poor ventilation, particularly around the external walls and window reveals. The presence of cold surfaces, such as steel elements in the structure, contributes to condensation potential, especially when warm air from the living spaces comes into contact with these colder areas. Additionally, a previous leak may have introduced moisture that exacerbates the mould growth.",Not mentioned
upper dwelling in a purpose built block,cavity,not mentioned,damp,east,not mentioned,uPVC,not mentioned,not mentioned,kitchen,not mentioned,0293_W12.pdf,"The reported damp issues are primarily caused by water penetration through the exterior wall structure, exacerbated by compromised drainage features such as a cracked mortar fillet and a drip formed in the precast panel above the affected window. Additionally, the presence of a planter on the balcony above may contribute to water ingress, particularly if it allows water to migrate back towards the window seal.","The reported damp and mould issues are primarily caused by water penetration through the exterior wall structure, exacerbated by compromised drainage features such as a cracked mortar fillet and a drip formed in the precast panel above the affected window. Additionally, the presence of a planter on the balcony above may contribute to moisture retention and further water ingress, particularly during heavy rainfall.",Not mentioned
semi-detached house,cavity,1930-40s,mould,not mentioned,not mentioned,not mentioned,not mentioned,not mentioned,dining room,master bedroom,0200_PO4.pdf,"The main causes of the reported damp and mould issues include inadequate insulation in the sloping ceiling area, leading to heat loss and subsequent condensation, as well as the property's age, which may contribute to cold spots that exacerbate moisture accumulation. Additionally, the temperature differential between the surface temperature and the dew point suggests that condensation is likely occurring during colder nights.","The main causes of the reported mould issues are inadequate insulation in the sloping ceiling areas, leading to cold spots and subsequent condensation. The existing insulation in the loft does not extend to these areas, creating localized thermal bridges that contribute to the formation of mould.",Not mentioned
ground floor flat in a purpose-built block,cavity,not mentioned,both,not mentioned,"kitchen extractor unit (malfunctioning), bathroom extractor unit (malfunctioning)",not mentioned,not mentioned,not mentioned,kitchen,bathroom,0721_ME4.pdf,"The main causes of the reported damp and mould issues include a leak from the flat above, leading to structural moisture levels in the kitchen, and potential water migration from the adjoining bathroom, particularly from the bath and shower. Additionally, the malfunctioning bathroom extractor unit contributes to inadequate ventilation, which can exacerbate moisture retention and mould growth.","The main causes of the damp and mould issues reported in the property appear to be a combination of a previous water leak from the flat above, which has likely contributed to persistent moisture levels, and inadequate ventilation in the kitchen and bathroom. The malfunctioning bathroom fan and the manual operation of the kitchen extractor suggest insufficient airflow, which can exacerbate moisture retention and lead to mould growth.",Not mentioned
ground floor flat,cavity,circa 1960,both,not mentioned,trickle vents,uPVC,not mentioned,not mentioned,kitchen,bedroom,0160_LU1.pdf,"The main causes of the reported damp and mould issues are a water leak near the kitchen window leading to water ingress, combined with high indoor temperatures causing evaporation. Additionally, the lack of ventilation in the property prevents moisture-laden air from dispersing, resulting in condensation on the walls and windows, which creates optimal conditions for mould growth.","The main causes of the reported damp and mould issues in the property are poor ventilation, as evidenced by the closed trickle vents and lack of forced ventilation, leading to high indoor humidity levels. Additionally, the occupancy conditions indicate a moist environment, which, combined with the high relative humidity readings in the bedrooms and lounge, creates an ideal setting for mould growth. The presence of visible water damage and moisture droplets on windows further suggests that moisture ingress and condensation are contributing factors.",Gas central heating
two bedroom end of terrace bungalow,solid,1980s,both,not mentioned,"extractor in wet room, passive vent in lounge, trickle vents (closed)",uPVC,2 adults,yes,back door,not mentioned,0328_BH20.pdf,"The main causes of the reported damp and mould issues are inadequate ventilation due to the under-performing bathroom extraction unit and the absence of an extractor in the kitchen, combined with the closed UPVC trickle vents and excessive storage in the bedrooms that restricts air circulation. This lack of proper airflow leads to condensation forming on windows and surfaces, promoting mould growth.","The main causes of the reported damp and mould issues are poor ventilation due to excessive storage of contents in the bedrooms and wet room, which restricts airflow and prevents warm moist air from escaping, leading to condensation. Additionally, high relative humidity levels in the internal spaces, particularly in the bedrooms and back entrance, contribute to the condensation observed on the windows and walls.",Gas central heating
semi-detached 2-bedroom house,cavity,1960,both,southeast,"trickle vents, passive vents, extractor fans",uPVC,2 adults and 4 cats,not mentioned,"lounge, kitchen","bathroom, dining room",0110_BS26.pdf,"The main causes of the reported mould issues include poor ventilation on the ground floor due to closed rooms, leading to elevated humidity levels, and inadequate functioning of the bathroom extractor fan, which fails to regulate moisture effectively. Additionally, previous moisture ingress from guttering issues and potential dampness from the floor screed to wall junctions contribute to the mould growth. The presence of a sagging and torn roof membrane may also allow moisture accumulation, further exacerbating the problem.","The main causes of the reported damp and mould issues in the property include poor ventilation, particularly due to blocked or ineffective passive and forced ventilation systems, which leads to high humidity levels indoors. Additionally, the presence of clutter against external walls prevents proper drying and exacerbates moisture retention. Structural issues such as the lack of a bellcast on the external render and ground levels above the damp proof course (DPC) contribute to moisture ingress, while previous drainage blockages have also led to water staining and dampness in internal walls.",Not mentioned
self-contained ground floor flat,solid,1885 – 1920,both,not mentioned,no forced air extraction,timber and uPVC,not mentioned,not mentioned,lounge,bathroom,0029_L19.pdf,"The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the bathroom, leading to high humidity levels. Additionally, rising damp is indicated due to poor mortar joints and a lack of a proper damp proof course (DPC), allowing moisture to penetrate the structure. Blocked guttering further exacerbates the problem by allowing rainwater to cascade over the structure, contributing to dampness in the lounge.","The reported damp and mould issues are primarily caused by poor ventilation leading to condensation, inadequate maintenance of external elements such as guttering and mortar joints allowing rainwater penetration, and potential bridging of the damp proof course (DPC) in the solid brick structure. Additionally, the high relative humidity levels inside the property contribute to the moisture accumulation, exacerbating the damp conditions.",Gas central heating
semi-detached 2-bedroom house,cavity,1970s,mould,not mentioned,"extractors, trickle vents",uPVC,2 adults,yes,lounge,bedroom 2,0329_BH20.pdf,"The reported issues are primarily due to inadequate ventilation, as the extraction units in both the bathroom and kitchen are underperforming compared to recommended flow rates, leading to insufficient removal of moisture. Additionally, lifestyle factors such as drying clothes indoors contribute to elevated humidity levels, while potential structural issues with the lounge wall may exacerbate the problem.","The main causes of the reported damp and mould issues include inadequate ventilation in key areas such as the bathroom and kitchen, leading to high humidity levels, particularly from drying clothes indoors. Additionally, the presence of raised moisture levels in the lounge wall suggests potential moisture penetration from the exterior, possibly due to structural defects or insufficient pointing. The combination of these factors creates an environment conducive to mould growth.",Gas central heating
ground floor one bedroom flat,solid,early 2000s,mould,not mentioned,bathroom extractor with trickle vents,uPVC,not mentioned,not mentioned,hallway,"lounge, bedroom",0560_GU35.pdf,"The reported mould activity is primarily driven by atmospheric moisture from adjoining properties, compounded by poor ventilation that leads to increased relative humidity (RH) and surface temperature drops at the base of the walls, creating conditions conducive to mould growth.","The main causes of the reported damp and mould issues in the property appear to be inadequate ventilation and high relative humidity levels, particularly in the hallway and lounge areas, which exceed 50%. The presence of moisture from the occupants' activities, combined with the potential for condensation on colder surfaces, creates an environment conducive to mould growth. Additionally, the lack of effective moisture control during periods of high occupancy may have contributed to the rapid development of mould after the tenants returned from holiday.",Gas central heating
1940’s three bedroom terraced dwelling,cavity,1940s,mould,not mentioned,"trickle vents, passive vent, extraction fan",uPVC,4 adults,yes,lounge,not mentioned,0959_TA6.pdf,"The main causes of the reported mould issues are poor ventilation due to closed trickle vents and an inefficient extraction fan in the bathroom, combined with high internal moisture levels from frequent laundry activities and drying clothes indoors. Additionally, the lack of cavity wall insulation and the bridging of the damp proof course (DPC) by the front door contribute to the cold surfaces on the external wall, leading to condensation and mould growth.","The main causes of the reported damp and mould issues include poor ventilation, particularly in the lounge where condensation is likely due to the cold surface temperatures being close to the dew point. Additionally, there is evidence of damp proof course (DPC) bridging at the front door step, which may contribute to moisture ingress, and the lack of insulation in the cavity could exacerbate temperature differentials leading to condensation.",Not mentioned
two-bedroom ground floor flat,cavity,not mentioned,both,not mentioned,"envirovent positive vent system, wall mounted extraction unit, trickle vents",uPVC,1 adult,yes,bedroom 1,bedroom 2,0697_LU4.pdf,"The main causes of the reported damp and mould issues are inadequate heating due to limited central heating operation, which fails to maintain a warm structure, and insufficient ventilation, as evidenced by the limited use of trickle vents and the reliance on a calor gas heater that introduces moisture into the air. Additionally, the placement of contents against external walls contributes to cold spots, increasing the likelihood of condensation.","The reported damp and mould issues are primarily caused by inadequate ventilation, particularly in the wet room and bedrooms, where furniture placement against external walls restricts airflow and contributes to cold spots. Additionally, high relative humidity levels in various rooms, combined with low surface temperatures that approach dew point, lead to condensation. The closed trickle vents in the bedrooms and kitchen further exacerbate the lack of air circulation, preventing moisture from dissipating effectively.",Gas central heating
stone block of flats,cavity,1970s,mould,not mentioned,"extractor fans in kitchen and bathroom, trickle vents",uPVC,2 adults and 1 child,yes,bedroom 1,"kitchen, bathroom",0500_DT5.pdf,"The reported issues of damp and mould are primarily caused by inadequate ventilation leading to condensation, exacerbated by a lack of insulation in the property. The use of a poorly vented tumble dryer and an extraction fan that allows cold air back in further contribute to moisture accumulation. Additionally, air leaks around the bathroom window and leftover vents from the old boiler allow cold air to enter, creating conditions conducive to mould growth.","The main causes of the reported damp and mould issues include poor ventilation due to stuck trickle vents and ineffective extractor fans, leading to high humidity levels in the kitchen, bathroom, and bedrooms. Additionally, inadequate loft insulation is contributing to heat loss, which can exacerbate moisture retention within the property. The presence of cold air entering through unsealed vents behind the washing machine further complicates the situation by increasing the likelihood of condensation.",Gas central heating
three-bedroomed semi-detached house,cavity,not mentioned,mould,not mentioned,"passive trickle vents, mechanical extraction units",not mentioned,not mentioned,yes,bathroom,lounge,0687_LU4.pdf,"The reported mould issues are primarily caused by inadequate ventilation due to passive trickle vents being closed or taped over, underperforming mechanical extraction units in the bathroom and kitchen, and elevated internal humidity levels from wet occupancy and drying laundry indoors. Additionally, the placement of furniture against external walls may contribute to poor air circulation, exacerbating the conditions for mould growth.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and elevated internal humidity levels. The tenant has taped over ventilation units and trickle vents, which restricts airflow and contributes to moisture accumulation. Additionally, activities such as drying clothing indoors further increase humidity, while structural issues like blocked passive vents and cold surfaces exacerbate the conditions conducive to mould growth.",Gas central heating
three-bedroomed bungalow,cavity,1965,both,not mentioned,inadequate ventilation,not mentioned,not mentioned,not mentioned,lounge,kitchen,0766_PO16.pdf,"The reported issues of damp and mould are primarily attributed to inadequate ventilation and elevated internal humidity levels, which create an environment conducive to mould growth. Additionally, the bridging of the damp proof course (DPC) by patio tiles may contribute to moisture retention, although current readings suggest no active moisture transfer through the cavity.","The reported damp and mould issues are primarily caused by inadequate ventilation leading to elevated internal humidity levels, which exceed the threshold necessary for mould growth. Additionally, the absence of a damp proof membrane in the older concrete floor slab construction may contribute to moisture migration from the ground, further exacerbating the damp conditions. The combination of these factors creates an environment conducive to mould proliferation, particularly in areas with poor air circulation, such as the kitchen ceiling and lounge.",Gas central heating
three-bedroom terrace dwelling,cavity,pre-1965,both,not mentioned,"mechanical extraction units in kitchen and shower room, trickle vents throughout, passive vent in lounge",not mentioned,4 family members,not mentioned,shower room,"lounge, bedroom 1",0786_PO21.pdf,"The reported damp and mould issues are primarily caused by inadequate ventilation, as evidenced by closed trickle vents and a blocked passive vent, leading to poor air circulation and increased humidity. Additionally, the under-performance of mechanical extraction units in the kitchen and shower room during high moisture production contributes to condensation and mould growth. There may also be underlying issues such as potential internal leaks and defects in the wall cavity affecting moisture levels.","The reported issues of damp and mould in the property are primarily caused by inadequate ventilation, particularly in the shower room and kitchen, leading to elevated humidity levels that exceed 60% relative humidity. Additionally, the bridging of the damp proof course (DPC) by ground levels may contribute to moisture ingress, while the age of the property suggests potential deficiencies in the original construction, such as the absence of a proper damp proof membrane in the concrete floor slab. These factors combined create an environment conducive to mould growth.",Not mentioned
two-bedroom detached dwelling,cavity,pre-1965,both,not mentioned,"trickle vents, most closed",not mentioned,not mentioned,not mentioned,front lounge,"bathroom, both bedrooms",0787_PO21.pdf,"The reported issues are primarily caused by inadequate ventilation, as evidenced by closed trickle vents and the absence of mechanical extraction units in moisture-generating areas like the kitchen and bathroom. This leads to elevated internal humidity levels and condensation. Additionally, possible defects in the chimneys and pre-existing damp issues contribute to the moisture problems, while blocked air vents and bridging of the damp proof course (DPC) further exacerbate the situation.","The reported damp and mould issues are primarily caused by inadequate ventilation leading to high humidity levels, which contribute to condensation on surfaces. Additionally, the presence of a chimney appears to be a significant factor, as it has been associated with elevated moisture readings and staining, indicating potential water ingress. The property's age and construction methods, particularly the lack of a damp proof membrane in the concrete floor slab, may also contribute to moisture migration from the ground.",Gas central heating
semi-detached dwelling,cavity,not mentioned,both,not mentioned,"mechanical extraction units in bathroom and kitchen, passive vent in bedroom 2",uPVC,not mentioned,yes,bathroom,bedroom 2,0084_SO50.pdf,"The reported issues are primarily caused by inadequate ventilation, as evidenced by the taped-over passive vent and closed trickle vents, which prevent proper air circulation. This is exacerbated by ongoing moisture generation from activities such as drying clothing indoors, leading to increased humidity and subsequent mould growth.","The main causes of the reported damp and mould issues in the property are inadequate ventilation, particularly in the bathroom and kitchen, leading to condensation, and high internal humidity levels due to drying clothes indoors. Additionally, the presence of cold surfaces in contact with warm moist air exacerbates the condensation problem, while the ineffective operation of the bathroom extractor fan further contributes to the lack of proper air circulation.",Not mentioned
3 bedroom semi-detached house,cavity,1980s,mould,not mentioned,"trickle vents, extraction units",uPVC,4 adults and 1 teenager,yes,bedroom 1,bedroom 2,0317_BH2.pdf,"The reported issues of damp and mould are primarily caused by insufficient ventilation, as both the bathroom and kitchen extraction units were non-functional during the survey. Additionally, the high moisture levels from bathing activities contribute to condensation and mould growth, particularly in bedroom 1, which is exacerbated by the absence of a door to contain moisture.","The reported damp and mould issues in the property are primarily caused by high relative humidity levels, particularly in the bedrooms and bathroom, which are conducive to condensation. Additionally, the presence of mould on external walls suggests inadequate ventilation and potential thermal bridging, leading to moisture accumulation in these areas. The ongoing nature of the problem over six years indicates persistent underlying issues with moisture management and air circulation within the property.",Gas central heating
semi-detached,cavity,1950 – 1965,both,north,"mechanical extraction units in kitchen and bathroom, no trickle vents",not mentioned,not mentioned,not mentioned,lounge,"bedroom 1, bedroom 2",0849_RG25.pdf,"The reported damp and mould issues are primarily caused by inadequate insulation leading to colder surface areas, elevated humidity levels due to insufficient ventilation, and reliance on the tenant to manually ventilate the space, compounded by the mechanical extraction unit being covered and lacking passive ventilation measures such as trickle vents.","The reported damp and mould issues are primarily caused by inadequate ventilation and the presence of colder surface areas, which lead to condensation. The lack of trickle vents and the sealing of mechanical extraction units further exacerbate humidity levels within the property. Additionally, potential missing or inadequate insulation in certain areas contributes to the cold surfaces that attract warm, moist air, creating conditions conducive to mould growth.",Gas central heating
ground floor flat,cavity,pre-1965,mould,not mentioned,"extractor fans in kitchen and bathroom, trickle vents in windows",uPVC,not mentioned,yes,bathroom,not mentioned,0824_PO6.pdf,"The reported damp and mould issues are primarily caused by poor ventilation in the kitchen and bathroom, exacerbated by ineffective fan units and structural alterations such as removed internal doors and inadequate undercuts. Additionally, the age of the property, pre-dating 1965, may contribute to insufficient moisture control, leading to atmospheric moisture accumulation.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and high relative humidity levels, which contribute to moisture accumulation. The presence of closed trickle vents, ineffective operation of extractor fans, and the drying of laundry indoors exacerbate the moisture problem. Additionally, the absence of a damp proof membrane in the concrete floor slab, due to the property's age, allows ground moisture to migrate, further contributing to elevated moisture levels and mould growth.",Gas central heating
two bedroom ground floor flat,cavity,not mentioned,both,north,passive ventilation via two bedroom windows and patio doors,not mentioned,not mentioned,not mentioned,bathroom,kitchen,0211_RM17.pdf,"The reported damp and mould issues are primarily caused by ineffective forced ventilation, particularly in the bathroom and kitchen areas, compounded by poor passive ventilation due to the north-facing windows and patio doors, which limits cross ventilation and heat retention. Additionally, the reliance on a filter unit for the cooker hood and questionable discharge routes for the bathroom extractor further exacerbate the accumulation of atmospheric moisture.","The reported damp and mould issues in the property are primarily caused by high internal moisture levels due to inadequate ventilation, particularly in the kitchen and bathroom areas. The ineffective kitchen extraction unit and the potential malfunction of the bathroom extractor fan contribute to the accumulation of moisture in the air, leading to elevated relative humidity levels. Additionally, the presence of overspray from the shower and the inability to access certain areas for cleaning further exacerbate the mould growth conditions.",Not mentioned
one bedroom bungalow,cavity,pre-1965,mould,not mentioned,passive ventilation with trickle vents and a continuous running fan in the bathroom,uPVC,not mentioned,not mentioned,lounge,not mentioned,0728_ME5.pdf,"The reported damp and mould issues are primarily caused by inadequate ventilation, which fails to meet current building regulations, leading to elevated moisture levels from condensation. Additionally, occupational activities contribute to atmospheric moisture, while the introduction of air bricks has resulted in lower wall surface temperatures, further exacerbating the conditions for mould growth.","The main causes of the reported damp and mould issues in the property are inadequate ventilation, particularly in the lounge and kitchen areas, which leads to elevated humidity levels conducive to mould growth. Additionally, the absence of a damp proof membrane in the concrete floor slab, due to the property's age, allows ground moisture to migrate upwards. The introduction of cold air into the cavity wall through air bricks further exacerbates the problem by chilling the inner wall surfaces, creating conditions for condensation and mould proliferation.",Gas central heating
ground floor dwelling in a modern purpose built structure,cavity,not mentioned,mould,not mentioned,"extractor fan in bathroom, trickle vents",uPVC,not mentioned,yes,bedroom,lounge,0508_E17.pdf,"The main causes of the reported damp and mould issues are poor ventilation in the bathroom, leading to elevated internal moisture levels, and condensation resulting from high relative humidity, particularly in the bedroom area.","The main causes of the reported mould issues in the property are inadequate ventilation, particularly in the bathroom and kitchen, leading to high humidity levels, and the presence of moisture due to condensation around the patio doors and bay windows. Additionally, the practice of drying laundry indoors on radiators contributes to elevated moisture levels, further exacerbating the mould growth. The blocked bathroom extractor fan also hinders effective moisture removal, creating an environment conducive to mould proliferation.",Not mentioned
ground floor flat in a purpose built block,cavity,2009,mould,not mentioned,passive ventilation with acoustic window vents and forced ventilation in bathroom and kitchen,not mentioned,not mentioned,yes,bedroom 1,lounge,0238_SW18.pdf,"The reported issues are primarily caused by raised atmospheric moisture levels leading to condensation, particularly around window areas. This internal atmospheric condition, exacerbated during colder weather, contributes to mould growth on adjacent contents.","The reported damp and mould issues in the property are primarily caused by high moisture levels due to inadequate ventilation, particularly from having only one trickle vent per window unit, which limits air circulation. Additionally, the practice of drying laundry indoors without proper facilities exacerbates humidity levels, contributing to the conditions that allow mould to thrive. The combination of these factors leads to elevated relative humidity, particularly in areas adjacent to windows, creating an environment conducive to mould growth.",Not mentioned
ground floor flat in a purpose-built block,cavity,pre-dates 1965,mould,not mentioned,"extractor fans, trickle vents, passive vents",uPVC,not mentioned,not mentioned,bedroom 2,bathroom,0431_BN6.pdf,"The main causes of the reported damp and mould issues are poor ventilation leading to elevated atmospheric moisture levels, exacerbated by the lack of use and functionality of installed ventilation systems. Additionally, the significant opening of windows prior to the survey suggests that internal humidity was high, likely due to occupational activities, which contributed to condensation and mould growth in the property.","The main causes of the reported damp and mould issues in the property are inadequate ventilation and high relative humidity levels. Despite the presence of passive and forced ventilation systems, their effectiveness is compromised by factors such as open windows, potential restrictions in airflow, and malfunctioning extractor fans. Additionally, the property's construction prior to 1965 may lack a proper damp proof membrane, allowing ground moisture to migrate, further contributing to elevated moisture levels conducive to mould growth.",Gas central heating
5-bedroom 2 storey mid terrace house,solid,circa 1900,both,not mentioned,PIV system with continuous running fans in wet rooms and background ventilation,uPVC double glazed,not mentioned,not mentioned,lounge,"kitchen, bathroom",0402_BN17.pdf,"The reported damp and mould issues are primarily caused by water ingress behind the external insulation, exacerbated by overflowing blocked guttering and failing external claddings. Additionally, persistent elevated atmospheric moisture levels, driven by internal moisture conditions and cold external walls, contribute to mould growth, particularly in the lounge. The elevated readings in the chimney breasts are attributed to hygroscopic salts from previous solid fuel use, while the kitchen floor readings suggest the tiles are acting as a damp proof membrane for ground moisture.","The main causes of the reported damp and mould issues in the property include inadequate ventilation, particularly in wet areas, leading to elevated humidity levels; blocked gutters causing water overflow and moisture penetration into the walls; and structural dampness around windows due to gaps in the external insulation, exacerbated by the property's age and construction methods that may not effectively prevent moisture ingress.",Not mentioned
